date,new_deaths,icu_patients,hosp_patients,new_tests,people_vaccinated,people_fully_vaccinated,new_cases
3/5/2022,10400,47106,233724,6789352,1780181668,1529335211,362435
3/12/2022,8738,33064,167349,6146471,1782901711,1532242901,241606
3/19/2022,6147,23880,124623,6302642,1785273311,1534709728,214678
3/26/2022,5187,18164,98432,5977630,1787587123,1536843927,195759
4/2/2022,4346,14034,80372,5621348,1789951723,1538938131,195785
4/9/2022,3180,11971,72287,5536369,1792808438,1541677717,185984
4/16/2022,3468,10685,70686,4870841,1795598026,1544407873,246185
4/23/2022,2645,10240,75702,4508344,1798116976,1546793248,276277
4/30/2022,2093,10914,87274,5865131,1800451766,1549033166,366692
5/7/2022,2646,11888,100602,5579522,1802647624,1551131477,450582
5/14/2022,2020,12989,117080,5969381,1804739229,1553087935,582734
