date,RSV Detections,RSV Tests,Surveillance Year,Week ending Code ,temp_c,vapor_pressure_hpa
2010-07-10,36,2512,1011,1027,24.95494969080809,20.29125613175632
2010-07-17,34,2679,1011,1028,25.54223219440508,21.36237631721727
2010-07-24,61,2491,1011,1029,25.58393690058173,21.776149818076025
2010-07-31,42,2407,1011,1030,24.84838410350221,20.76124009257782
2010-08-07,40,2122,1011,1031,25.33445584422748,21.06714088245653
2010-08-14,58,2840,1011,1032,25.37013728720484,21.069993697762705
2010-08-21,57,3051,1011,1033,24.440773638182964,20.19722395479161
2010-08-28,55,3169,1011,1034,22.60293551756363,17.111330902302235
2010-09-04,68,3683,1011,1035,22.346871732790405,16.49809144458036
2010-09-11,96,4307,1011,1036,20.21471323065096,14.973124057437683
2010-09-18,98,4674,1011,1037,19.94849542444145,14.810443278360502
2010-09-25,143,5247,1011,1038,20.1354837821466,15.09936018822344
2010-10-02,157,5113,1011,1039,17.299287154974717,12.58394319128985
2010-10-09,258,5604,1011,1040,15.41287218791354,10.794150237402574
2010-10-16,294,6163,1011,1041,14.4934693877551,10.010919569038974
2010-10-23,366,6437,1011,1042,13.114688595159912,9.566132896838797
2010-10-30,388,6592,1011,1043,12.334532985872997,9.253549618924357
2010-11-06,526,7236,1011,1044,8.849110329981743,7.137607083483736
2010-11-13,592,7877,1011,1045,8.539654841276374,7.315178076105489
2010-11-20,760,8505,1011,1046,7.0457737392593405,7.186858867834276
2010-11-27,983,8344,1011,1047,4.256977030689627,5.596850744315214
2010-12-04,1075,9220,1011,1048,2.4605347769930472,5.065645028539725
2010-12-11,1350,10145,1011,1049,-0.0526561684117954,4.115366524705918
2010-12-18,1787,11690,1011,1050,-1.3366785714285714,3.871246679809625
2010-12-25,2191,12103,1011,1051,0.5265902326094146,4.729513026145045
2011-01-01,3069,14737,1011,1052,0.0957865754542369,4.336149066844783
2011-01-08,3180,15301,1011,1101,-1.113712917606913,3.8186545087609054
2011-01-15,2979,14488,1011,1102,-2.782377003869541,3.5152472392543146
2011-01-22,3574,16487,1011,1103,-1.8607228848974624,3.7922474010802207
2011-01-29,4107,18080,1011,1104,0.6696156074946881,4.605486903200315
2011-02-05,3938,17371,1011,1105,-1.8469697806751009,3.810555070907619
2011-02-12,4491,19197,1011,1106,-1.5399267701794956,3.480521501612624
2011-02-19,4359,19966,1011,1107,6.246775485403375,5.873154399249516
2011-02-26,4230,19341,1011,1108,2.301925623482675,5.020760573805781
2011-03-05,3808,17657,1011,1109,4.473255301569815,5.515750311043291
2011-03-12,3087,17093,1011,1110,5.460246755772918,6.087664943175158
2011-03-19,2571,15660,1011,1111,9.2068749827781,7.403830630927034
2011-03-26,1879,13588,1011,1112,7.13616844668253,6.537935853320111
2011-04-02,1432,11950,1011,1113,7.992529767660303,6.649951870255528
2011-04-09,1079,10935,1011,1114,11.568892813776356,8.573006411849443
2011-04-16,782,9940,1011,1115,11.924405867835056,8.350389549137441
2011-04-23,594,8380,1011,1116,12.453847642748514,9.55904278861291
2011-04-30,436,7648,1011,1117,14.205779406901112,10.293333332729285
2011-05-07,329,6857,1011,1118,14.234294606952018,9.50324265889662
2011-05-14,220,6168,1011,1119,16.718711173693364,12.5283988363164
2011-05-21,201,5685,1011,1120,16.29933716305789,12.675299431677526
2011-05-28,140,5237,1011,1121,19.03498828394211,14.98949145760989
2011-06-04,91,4674,1011,1122,21.950011035091592,15.228611437184062
2011-06-11,96,4321,1011,1123,22.15807973513588,16.644890356020163
2011-06-18,75,3853,1011,1124,21.77714064316156,16.389268410591985
2011-06-25,69,3411,1011,1125,22.57065538062808,17.90264969602903
2011-07-02,43,3158,1011,1126,24.34404478190988,18.54567193632865
2011-07-09,34,2734,1112,1127,25.054589519166854,20.116832385536284
2011-07-16,40,2787,1112,1128,25.025635187293474,20.02170695705908
2011-07-23,43,2721,1112,1129,26.860241799073844,22.05203712061229
2011-07-30,49,2484,1112,1130,25.735507206208425,21.51530923198556
2011-08-06,38,2410,1112,1131,25.822576897543705,21.541393332586363
2011-08-13,64,2709,1112,1132,23.7467089238264,18.8742319413133
2011-08-20,80,2815,1112,1133,23.882126948775056,18.90024375243052
2011-08-27,77,3104,1112,1134,24.564050830453684,18.798656907324023
2011-09-03,99,3523,1112,1135,23.27294992894759,17.61285314066336
2011-09-10,124,3892,1112,1136,19.983705045999443,15.255402391066806
2011-09-17,112,4236,1112,1137,18.176098809391345,13.773689344956546
2011-09-24,163,4996,1112,1138,18.600943658062725,14.607756788267016
2011-10-01,202,5329,1112,1139,17.696057467423987,12.7998530402834
2011-10-08,195,5787,1112,1140,16.24064694082247,11.686866263078771
2011-10-15,250,5999,1112,1141,15.849144608526052,11.798386200836376
2011-10-22,321,6371,1112,1142,11.95791263624453,8.990561343695084
2011-10-29,345,6864,1112,1143,10.026551984138065,8.031874533812253
2011-11-05,446,7372,1112,1144,8.400796856842454,7.040085374783082
2011-11-12,549,8079,1112,1145,8.643319421257653,7.256932986534718
2011-11-19,695,8521,1112,1146,7.897995724953501,7.018710071816357
2011-11-26,902,7938,1112,1147,7.79162702717739,7.616454306618739
2011-12-03,1177,9306,1112,1148,4.639314667781028,5.9365055818487855
2011-12-10,1260,9027,1112,1149,1.5827662001613756,4.968153874716941
